"","IFNg","IL.2","IL.6","IL.7","IL.8","IL.15","KC.like","IL.10","IL.18","bc_bin"
"1562",-0.249520072606334,0.344052601035852,-2.27779758960782,1.01769792385913,-2.66496579373568,-1.84055581804515,0.492424462335904,-1.15685872723573,6.33552301399983,"Average"
"1563",-1.08572656998978,0.386732747653881,-0.755951585149182,-0.332489656485046,-1.18953292758327,-3.38031384205782,0.817436957594699,-0.0758741447204516,5.61571902073697,"Average"
"1581",-0.732036531414182,0.914300148803211,0.881820603094611,-0.226575980478129,-6.19355654698196,-3.18722306293229,2.97361948215014,-1.9830599900375,7.55271187779608,"Poor"
"1586",0.843187353559463,0.373620845509285,-0.945150011166182,2.15389915875297,-2.67752216962689,-1.91586745573482,-2.6597239541206,-1.92870051025883,6.7562567430856,"Average"
"1663",0.0972462407054186,0.315362361437543,-1.03471431252224,1.76936329561654,-2.35998497212165,-1.57451192609389,-2.36347565242279,-1.33325251688486,6.48396748228592,"Average"
"2009",0.386543444677957,-0.0551440234165517,-0.815053254001757,0.948177990870177,-1.81820952959085,-2.54176696704617,0.410264012053265,-1.2488680579579,4.73405638441183,"Poor"
"2010",2.26540707334326,1.71804242615996,2.05601190688256,-0.437450102219756,-4.98509138187063,-4.13666180140343,1.96811049746701,-3.10169175945239,4.65332314109341,"Average"
"2012",-0.406796692780245,0.636245465354851,1.47220773200012,-0.160206471099719,-3.37562104288871,-2.52311785217919,0.654377232427677,-1.12229928712076,4.82521091628596,"Average"
"2013",0.505770887661542,0.331082198049233,0.449641842978832,0.545501767898547,-2.46717170094146,-2.63240320479205,0.248442649333367,-1.44079056461501,4.45992612442699,"Average"
"2014",1.81568089495904,2.05541869027935,2.63032178820474,-0.917623084692108,-5.13113505853839,-4.03489429264294,1.68691596279632,-2.7981667830289,4.69348188266289,"Poor"
"2015",0.518209599089838,-0.0399587230269347,-0.388624912381053,0.924070299516332,-2.06246154938044,-2.61170720948307,0.464618285944251,-1.40073287757727,4.59658708729835,"Average"
"2017",1.19249629367316,0.114536878438401,-1.21730621032456,1.00468988123611,-1.37567983118054,-2.57509043071145,0.369991032054405,-1.51816474172342,4.0045271285379,"Poor"
"2021",0.85797633723446,-0.195601140069284,0.170517347285722,1.22754817337398,-2.48875233927628,-2.80968089897694,0.353602952432593,-1.80483056651995,4.68922013451571,"Robust"
"2024",-0.93819419592131,0.812056078171926,1.45985686833413,-0.597063474217792,-3.04682343385259,-2.25638899294822,0.58985650245054,-0.616786735964192,4.5934873839475,"Poor"
"2025",0.517451649353095,0.0138972665106095,0.494040327073879,0.7589927798851,-2.67750716910976,-2.71689866298487,0.6966585591458,-1.58592221133015,4.4992874614563,"Robust"
"2026",0.536263797842599,0.0322168029209576,0.589222876219503,0.769333040306547,-2.64628326306127,-2.69842150529533,0.535631095850533,-1.58299982168815,4.46503697690461,"Robust"
"2030",0.462214240721344,0.222265532806097,0.0809843663746998,0.557174847208861,-2.02105326260796,-2.53337917939842,0.311575420840371,-1.26376133805138,4.18397937210638,"Average"
"2032",0.952615840663812,2.08234008749455,2.878201990757,-1.31021797502356,-4.50870612874892,-3.27205348984575,1.12078209086556,-1.98757984130959,4.04461742514689,"Poor"
"2033",1.45696479604367,1.26504682815456,1.20412807905763,0.0231451248364331,-3.30533460539142,-2.91148106036277,0.229563656198115,-2.09855667497859,4.13652385644238,"Poor"
"2034",-0.851232015939707,0.770632564836491,1.24638842746531,-0.5081601568895,-2.98550799134481,-2.21139474291409,0.633195785426065,-0.656858763918597,4.56293689327883,"Poor"
"2037",1.29190956190546,0.368811021428743,-0.533502573982469,0.857663848802133,-1.86629638051542,-2.68946040312596,0.140359633161587,-1.70528593875351,4.13580123107943,"Poor"
"2081",1.21863661222006,0.915877222568636,1.05936291044435,0.043523786010188,-3.72287975375737,-3.44564178491539,1.42537648766898,-2.19496153085557,4.70070605061613,"Average"
"2088",-0.785127775974824,0.545716659019043,1.37404488216897,-0.0372314218957228,-3.55593654962448,-2.55120036079586,0.493283353981269,-1.02030736831881,5.53675858144041,"Poor"
"2096",-0.592974239495205,0.718825800731277,1.63673650911441,-0.387628035231532,-3.21958710399639,-2.41189600653741,0.609448448009731,-0.912994466966539,4.56006909437166,"Average"
"2097",2.26017488400185,2.28098053742948,2.71792237763288,-1.1199202445825,-5.81965214795227,-4.62896531957932,2.6240255269059,-3.27367741669085,4.95911180283482,"Poor"
"2098",0.715780570907594,0.00870427124290964,-0.580466787725882,0.87900203089291,-1.7113004104556,-2.54662024939039,0.427630818141767,-1.3643175758192,4.1715873322059,"Average"
"2104",-0.00110625009868576,1.09590775310644,1.46839117319219,-0.51884352087438,-2.99258124040498,-2.43454247497408,0.373399849868935,-1.09762147758888,4.10699618777344,"Poor"
"2106",1.95728664010356,1.35694057558409,2.08228517609543,-0.34640134867041,-4.67044771774336,-3.89843351919286,2.08703700923892,-2.84737558330873,4.27910876789337,"Robust"
